Id,PostId,RelatedPostId,LinkTypeId
76802,5039,439,1
78023,3494,5008,1
78203,5046,6055,1
78222,5040,1016,1
78297,5008,2887,1
78762,4994,6076,1
78844,6076,4994,1
79115,6104,78,1
79510,6104,1810,1
79980,6122,367,1
80173,6139,289,1
80384,1872,6138,1
81314,6186,4683,1
81641,473,982,1
81642,939,982,1
83541,6274,2789,1
83868,6317,2961,1
84885,6353,454,1
85154,6365,6347,1
85423,6369,57,1
86046,6400,1031,1
86398,6410,2789,1
86404,6402,6404,1
86425,6405,6378,1
86540,6419,265,1
86885,6435,4968,1
87876,6478,1643,1
88049,6484,164,1
88734,6507,2605,1
90038,6564,3504,1
90180,6568,2320,1
90249,6542,1477,1
90337,6576,2208,1
91677,6564,57,1
91692,6552,2734,1
92354,6656,4752,1
92719,6665,1271,1
92963,6676,57,1
93869,6719,3205,1
94898,6696,6694,1
95503,6790,1424,1
96202,6819,6186,1
96318,6744,2952,1
96760,6846,3495,1
97018,6855,2789,1
97626,6877,6111,1
98243,6907,1731,1
98277,6910,473,1
99074,6910,939,1
100514,7003,110,1
102084,7070,6960,1
102184,7089,625,1
103394,7138,6597,1
104468,7190,307,1
104503,7202,1331,1
104504,7202,6893,1
105402,7238,1847,1
105604,7253,7101,1
105732,7193,407,1
106063,7259,7235,1
106701,7256,7008,1
107600,7345,6797,1
108174,7373,6801,1
108362,7356,6893,1
108833,7409,1071,1
109269,7420,6847,1
109566,7445,2789,1
109785,7431,7428,1
110262,7447,7371,1
110527,7480,3149,1
111576,7464,7463,1
111602,7464,7543,1
111682,7543,7464,1
120481,7730,7716,1
126312,7904,2789,1
126313,7855,57,1
126323,7831,1986,1
128610,7726,7737,1
128671,7855,3297,1
129495,8957,1031,1
130263,8982,6609,1
131094,9013,6562,1
131095,9013,7349,1
132226,9049,640,1
132230,9055,1957,1
132231,640,9049,1
132954,8991,1031,1
137772,9222,9212,1
138293,9234,2218,1
138345,9201,307,1
138396,9199,570,1
139244,9115,2878,1
139390,9299,57,1
140243,9311,9309,1
140443,9329,2789,1
140596,9337,7188,1
140597,9337,307,1
148851,9387,9349,1
148904,9384,9155,1
149177,9390,2789,1
149180,9390,57,1
149251,9418,1031,1
149282,9424,9418,1
149869,9441,7091,1
149870,9441,4913,1
149871,9441,9299,1
150173,9455,9446,1
150900,9483,842,1
150902,9488,9478,1
151099,9492,2016,1
151100,9478,9492,1
152279,9546,9526,1
152431,9497,880,1
152468,9556,982,1
152469,9556,473,1
152559,9572,1176,1
152607,9565,9072,1
153229,9585,9556,1
153408,9613,57,1
154118,9645,9175,1
154310,9574,9168,1
154443,9670,1031,1
154711,9684,9621,1
156340,9780,9772,1
156505,9769,9756,1
157203,9769,9818,1
157204,9804,6415,1
157272,9818,9769,1
157703,9808,265,1
158251,9848,857,1
158252,9848,1780,1
158274,824,1780,1
158276,824,857,1
158709,1050,640,3
158710,1461,1458,3
158711,1568,1547,3
158712,1585,1549,3
158713,1753,1031,3
158714,1846,1802,3
158715,1857,1853,3
158716,1878,1692,3
158717,2018,2011,3
158718,2022,2008,3
158719,2023,1949,3
158720,2165,164,3
158721,2168,2141,3
158722,2216,1031,3
158723,2296,2188,3
158724,2333,1434,3
158725,2444,2302,3
158726,2460,2459,3
158727,2476,991,3
158728,2573,2634,3
158729,2918,266,3
158730,3193,2623,3
158731,3258,3251,3
158732,3327,1643,3
158733,3474,3463,3
158734,3492,3489,3
158735,4738,4729,3
158736,4802,3227,3
158737,4987,2016,3
158738,5039,439,3
158739,5046,6055,3
158740,6076,4994,3
158741,6104,1810,3
158742,6353,454,3
158743,6400,1031,3
158744,6402,6404,3
158745,6419,265,3
158746,6656,4752,3
158747,6696,6694,3
158748,6819,6186,3
158749,6846,3495,3
158750,6855,2789,3
158751,7070,6960,3
158752,7089,625,3
158753,7138,6597,3
158754,7238,1847,3
158755,7256,7008,3
158756,7259,7235,3
158757,7373,6801,3
158758,7420,6847,3
158759,7431,7428,3
158760,7447,7371,3
158761,7730,7716,3
158762,9201,307,3
158763,9222,9212,3
158764,9337,307,3
158765,9387,9349,3
158766,9424,9418,3
158767,9441,9299,3
158768,9488,9478,3
158769,9546,9526,3
158770,9645,9175,3
158771,9848,824,3
158908,9852,824,1
158940,57,4913,1
158941,57,4818,1
158942,57,3149,1
158943,57,9523,1
158944,57,2814,1
158945,57,7720,1
158957,2789,9569,1
159129,9891,9862,1
159176,9233,9095,1
159206,9909,9556,1
159354,9909,9556,3
159362,9556,1877,1
159363,9891,9862,3
159376,9899,2789,1
159390,9899,57,1
160302,9957,3523,1
160569,9987,1418,1
160665,9977,7566,1
160752,9938,7531,3
161183,10013,164,1
161606,10034,3458,1
161637,9987,1418,3
162033,10041,10002,1
163001,10079,1031,1
163308,10091,2789,1
163416,10091,581,1
163618,10111,1970,1
163783,10081,3126,1
163784,10081,9957,1
163830,10111,249,1
165146,10147,1547,1
166027,10147,1547,3
166388,10164,10170,3
166495,10111,1970,3
166496,10181,1494,1
166604,10180,2016,1
167813,10227,2789,1
168047,10219,10216,3
168611,10258,10173,1
168859,10265,10257,1
168972,10181,1494,3
169030,10257,10265,3
169497,390,2338,1
169521,10277,1331,1
169522,10277,1031,1
170040,10292,9295,3
170515,10310,4818,1
170551,10301,2777,1
170552,10301,1626,1
170609,10310,57,1
170610,10310,857,1
171201,10317,10341,1
171443,10356,2789,3
171681,10242,2789,1
171938,10338,2916,1
171939,10338,10379,1
172255,10387,9831,1
172256,10387,9804,1
172257,10387,9804,3
172289,10389,581,1
172290,10389,6435,1
172291,10389,4968,1
173431,10391,7256,1
173859,10445,10446,1
173969,10445,10399,3
173970,10446,10399,3
173971,10399,9021,1
174729,10352,10354,1
174751,10463,10399,3
174928,7518,2320,1
174929,10476,2320,1
174965,10482,7046,1
175007,10476,2794,1
175577,10501,10498,1
175593,10501,10498,3
175677,10503,10399,1
175692,10485,9556,1
175695,10472,210,1
175945,10498,477,1
176044,10514,9556,1
176060,10518,411,1
176185,10511,824,1
176196,10511,6075,1
176197,824,6075,1
176198,6075,824,1
176677,10531,824,1
176749,10488,9556,1
176750,1243,9556,1
176987,10458,9954,1
177002,10539,701,1
177003,10539,2783,1
177004,10539,9063,1
177220,10557,9835,1
177282,10555,10013,1
177376,10555,10013,3
177516,10539,9063,3
177517,10557,9835,3
177636,10588,57,1
177637,10588,824,1
177750,10590,3215,1
177775,10576,10573,1
177780,10588,824,3
177978,10603,6245,1
178084,10605,10590,1
178204,10493,10576,1
178416,10635,9831,1
178417,10635,9804,1
178528,10632,2557,1
178552,10625,2789,3
178555,10621,10635,1
178665,2336,10656,1
178666,10656,2336,1
178748,10656,570,1
179265,10694,265,1
179307,10690,9556,1
179308,10690,1877,1
179575,10699,10690,1
179588,10701,57,1
179667,10715,10713,3
180033,10749,820,1
180280,10762,57,1
180307,10763,10548,1
180326,10747,10690,1
180333,10749,820,3
180425,10771,454,1
180431,10777,9556,1
180494,10780,9633,3
181043,10813,4800,3
181064,10805,9813,1
181113,813,10768,1
181369,10857,2016,1
181491,10879,10848,1
181507,10848,164,1
181859,10928,9831,1
181888,10883,2016,3
181907,10922,7136,1
182128,10892,2832,1
182140,10892,265,1
182141,10911,10897,3
182201,10955,3149,1
182202,10955,9523,1
182203,9523,3149,1
182228,10927,1031,1
182396,10977,2789,1
182514,10983,2016,1
182557,10990,342,1
182699,11001,982,1
182700,11001,473,1
182709,10997,57,1
182815,11009,9063,1
182845,11011,11009,3
182853,11009,9813,1
182854,11009,9556,1
182887,11009,7676,1
182911,11015,439,3
182947,11018,7588,1
183002,10816,10614,1
183054,11033,11030,1
183056,11033,11030,3
183073,11018,1331,1
183132,11040,11039,1
183162,11001,982,3
183315,11056,4856,1
183510,11076,9831,1
183511,11076,9804,1
183539,11076,9804,3
183762,10174,10173,1
183815,11086,421,1
183935,11106,265,1
183949,11110,11106,1
184089,11128,645,1
184229,11128,645,3
184408,11146,10438,1
184444,11119,7848,1
184670,11182,3205,1
184726,11155,7879,1
184759,11106,11110,1
184929,11181,11209,1
184932,11209,1440,1
184968,11197,7759,1
184993,265,11110,1
184994,265,11106,1
185018,11219,265,3
185267,11234,11229,3
185416,11237,11110,1
185849,11181,9633,1
185850,11181,266,1
185906,11299,10656,1
185907,11299,2336,1
185953,11315,2320,1
185956,9230,11315,3
185975,11317,1031,1
185978,11276,7250,1
186062,2338,11321,1
186119,11329,265,1
186259,11345,3414,1
186340,11352,11302,3
186470,11358,7740,1
187447,11454,11218,1
187485,11454,11218,3
187511,11398,11209,1
187559,11428,7565,1
187591,11451,11398,3
187599,11453,11209,1
187740,11470,194,1
187741,11470,11263,3
188080,11487,11398,3
188081,11487,11451,3
188171,11500,367,1
188230,11528,11479,1
188254,11530,11128,1
188255,11530,645,3
188265,11527,10392,1
188268,10392,11527,3
188269,10392,11527,1
188472,11514,4734,1
188973,11598,10974,1
189374,11405,10635,1
189375,11405,11110,1
189516,11647,11592,1
189581,11656,2789,1
189667,10763,57,1
189673,11656,2789,3
189696,11350,1045,1
189698,11350,1039,1
189846,10763,9728,1
189900,11645,258,1
189983,11053,7056,1
190471,11718,6588,1
190552,11756,342,1
190553,11756,421,1
190566,11759,9829,1
190752,11741,11740,1
190764,11761,1477,1
191071,11784,11781,3
191161,11770,1031,1
191458,10300,1477,1
191648,11846,11836,1
191737,11853,11785,1
192030,11853,11785,3
192158,11885,11883,1
192800,11915,11505,3
192825,11929,11629,1
193108,11942,11505,1
193109,11942,11915,1
193218,11925,2832,1
193251,11942,11915,3
193297,11936,266,1
193305,11935,2016,1
193800,12010,12011,1
193823,12010,12011,3
194050,12009,11209,1
194051,12009,1240,1
194251,12041,265,1
194315,12041,9181,1
194458,11585,12041,1
194549,12048,7414,1
194919,3271,4856,1
194962,12116,12119,3
194972,12108,12087,3
195117,12087,12135,1
195118,12135,12087,1
195199,12139,1031,1
195400,12160,2789,1
195415,12147,10548,1
195416,12147,10352,1
195630,12186,12179,1
195673,12186,12179,3
195949,12129,6919,1
196181,12236,57,1
196468,12256,1331,1
196938,12301,11030,1
197123,12288,298,1
197272,12250,1477,1
197523,12305,12343,1
197526,12343,12305,1
197529,12341,12233,1
197596,12339,11984,1
197608,12339,11984,3
197662,12357,12338,1
197781,12365,10974,1
199069,12466,10317,1
199240,12359,10869,1
199283,12480,12466,1
199370,12475,192,1
199378,1877,11906,1
199483,12500,11609,1
199521,12500,11609,3
199859,12511,12507,1
200171,11930,3276,1
200549,12599,2789,1
200606,11585,307,1
200799,12612,2016,1
200812,12624,9954,1
201067,12643,12041,1
201140,12663,307,3
201326,11927,4968,1
201813,12718,12139,1
201949,12736,3027,1
202072,12755,3390,1
202230,12764,4985,1
202231,12764,6546,1
202535,12493,6245,1
202653,12818,12747,1
203273,12876,12267,1
203348,12873,57,1
203349,12876,12267,3
203474,12899,192,1
203881,12906,1031,1
203954,12936,12906,3
204236,12974,1031,1
204275,909,12981,1
204276,12981,909,1
204290,12969,2834,1
204569,12981,1643,1
204621,12811,10637,1
204622,13020,12974,3
204988,13021,12136,1
205122,13060,12764,1
205137,13079,13078,1
205431,13104,12981,1
205718,13091,12771,1
205891,13138,3390,1
206332,13173,367,1
206436,13181,192,1
206459,13188,6521,1
206495,13179,7041,1
206781,13213,2789,1
206930,13118,2789,1
206975,13165,7367,1
207290,13249,13206,1
207355,13250,6379,3
207364,13218,13078,1
207438,13254,3,1
207439,13254,3126,1
207706,13276,13269,3
207748,13285,12929,1
207864,13246,2605,1
207891,12811,10637,3
207931,12783,12789,1
207975,12789,12783,1
208045,13305,12899,1
208059,13305,12899,3
208589,13336,2507,1
208590,13336,13101,1
208998,13383,265,1
209048,13383,619,1
209064,13383,265,3
209065,13383,619,3
209072,13381,2789,1
209073,13381,2971,3
209111,10696,13392,1
209112,13388,265,1
209806,13425,11780,1
210288,13476,57,1
210289,13466,12147,3
210423,13393,102,1
210424,13393,43,1
210440,13476,57,3
210441,13433,857,1
210470,13485,2811,1
210533,13488,192,3
210534,13488,192,1
210535,13488,9461,1
210626,13376,13218,1
210728,13392,10696,1
211058,13537,192,1
211122,13545,824,1
211123,13545,57,1
211409,13060,12764,3
211476,13578,824,1
211477,13578,57,1
211539,13585,2973,1
211597,13572,13282,1
211659,13578,57,3
211776,13601,13596,1
211782,13572,13282,3
211783,13601,13596,3
211941,13565,857,1
211942,13565,57,1
212021,13623,11759,1
212032,13623,11759,3
212093,13598,1970,1
212300,11181,2811,1
212301,11181,33,1
212322,13625,57,1
212326,9329,2789,3
212892,13680,13331,1
213125,13537,824,1
213158,13698,11120,1
213316,13712,9548,1
213520,13728,13313,1
213533,13722,13637,1
213534,13722,13637,3
213892,13631,13759,1
213923,13759,13631,1
214134,13773,982,1
214135,13773,473,1
214405,13795,10280,1
215121,13757,9648,1
215122,13757,138,1
215261,13791,13677,1
215481,13893,12136,1
215928,13912,57,1
216215,6766,13481,1
216268,13960,367,1
216276,13962,13964,1
216456,13981,265,1
216472,13990,2605,1
216493,13990,1643,1
216657,14007,3227,1
216979,14025,6311,1
217246,14064,1547,1
217328,14064,1547,3
217362,14072,13202,1
217457,14065,3306,3
217645,14093,10357,1
217688,14099,13249,1
217766,14106,164,1
218082,14144,57,3
218285,14159,13956,1
218287,14145,13956,1
218401,14175,1031,3
218611,14192,11785,1
218621,14178,11994,1
218622,14178,7743,1
218976,14213,824,3
219047,14192,11785,3
219062,14213,857,1
219099,14230,13669,1
219100,14230,1031,1
219223,14184,12740,1
220299,14285,12943,1
220336,14336,14333,3
220485,14274,2016,1
220521,14298,14121,1
220558,14305,265,1
220568,14317,2016,1
220569,14330,14294,3
220575,14323,1031,3
220598,14347,2789,1
220599,12865,14347,3
220610,14299,581,1
220822,14354,9556,1
220832,14361,2789,1
220862,14364,9556,1
221188,14397,1331,3
